call_id,datetime,agent,campaign,trunk,phone_number,disposition,duration,ring_time,hold_time,call_type
CDR_00004425,2024-01-01 19:36:33,Agent_013,New_Product_Launch,VOIP_LINE_B,+12423920326,Wrong Number,20,8,0,Outbound
CDR_00004280,2024-01-02 08:25:05,Agent_011,Survey_Campaign,SIP_GATEWAY_2,+18183246965,No Answer,0,44,0,Outbound
CDR_00004508,2024-01-02 08:48:24,Agent_011,Sales_Campaign_Q1,TRUNK_PRIMARY,+18066179226,No Answer,0,35,0,Outbound
CDR_00004541,2024-01-02 08:49:19,Agent_017,Sales_Campaign_Q1,SIP_GATEWAY_2,+13863957343,Busy,0,59,0,Outbound
CDR_00000848,2024-01-02 09:10:52,Agent_009,Survey_Campaign,VOIP_LINE_B,+14737535482,Voicemail,24,13,0,Outbound
CDR_00004296,2024-01-02 09:32:08,Agent_016,New_Product_Launch,SIP_GATEWAY_1,+16725725756,No Answer,0,57,0,Outbound
CDR_00001899,2024-01-02 09:39:41,Agent_013,Lead_Generation_2024,TRUNK_BACKUP,+15982127063,Voicemail,23,23,0,Outbound
CDR_00004976,2024-01-02 09:51:26,Agent_015,Lead_Generation_2024,TRUNK_PRIMARY,+16405954321,Sale,436,11,30,Outbound
CDR_00000125,2024-01-02 10:02:25,Agent_001,Lead_Generation_2024,TRUNK_BACKUP,+14169710305,Interested,259,12,30,Outbound
CDR_00001116,2024-01-02 10:11:01,Agent_015,Sales_Campaign_Q1,SIP_GATEWAY_1,+13628605648,Not Interested,149,20,25,Outbound
CDR_00001652,2024-01-02 10:16:21,Agent_015,Customer_Retention,SIP_GATEWAY_2,+15152549059,Voicemail,21,23,0,Outbound
CDR_00002778,2024-01-02 10:21:46,Agent_009,Survey_Campaign,SIP_GATEWAY_2,+14389981534,No Answer,0,37,0,Outbound
CDR_00004626,2024-01-02 10:26:21,Agent_013,Sales_Campaign_Q1,VOIP_LINE_A,+15613376863,Do Not Call,162,18,7,Outbound
CDR_00003170,2024-01-02 10:29:01,Agent_016,Lead_Generation_2024,VOIP_LINE_A,+12859526370,Busy,0,40,0,Outbound
CDR_00000504,2024-01-02 10:57:45,Agent_005,Customer_Retention,VOIP_LINE_B,+19676544534,Interested,74,5,26,Outbound
CDR_00003606,2024-01-02 11:06:33,Agent_018,Customer_Retention,VOIP_LINE_B,+17836289103,Callback Scheduled,93,28,25,Outbound
CDR_00000073,2024-01-02 11:12:25,Agent_001,Survey_Campaign,SIP_GATEWAY_1,+16857587773,Callback Scheduled,233,20,9,Outbound
CDR_00000701,2024-01-02 11:27:09,Agent_009,Customer_Retention,TRUNK_BACKUP,+13041007730,Busy,0,19,0,Outbound
CDR_00000797,2024-01-02 11:44:02,Agent_013,Customer_Retention,SIP_GATEWAY_1,+17848777100,No Answer,0,21,0,Outbound
CDR_00000616,2024-01-02 11:48:05,Agent_018,Lead_Generation_2024,VOIP_LINE_A,+17324867690,No Answer,0,35,0,Outbound
CDR_00003827,2024-01-02 11:58:14,Agent_003,Collection_Drive,TRUNK_BACKUP,+18398243846,Wrong Number,28,18,0,Outbound
CDR_00002371,2024-01-02 12:34:14,Agent_017,Survey_Campaign,SIP_GATEWAY_2,+14567041841,No Answer,0,59,0,Outbound
CDR_00002435,2024-01-02 12:55:16,Agent_009,Survey_Campaign,TRUNK_BACKUP,+16699584328,No Answer,0,39,0,Outbound
CDR_00001918,2024-01-02 13:22:44,Agent_005,Survey_Campaign,SIP_GATEWAY_2,+12125530239,Voicemail,21,30,0,Outbound
CDR_00004336,2024-01-02 13:24:12,Agent_011,Sales_Campaign_Q1,SIP_GATEWAY_1,+15309823016,No Answer,0,49,0,Outbound
CDR_00003246,2024-01-02 13:27:33,Agent_004,Lead_Generation_2024,SIP_GATEWAY_1,+16746067734,Busy,0,15,0,Outbound
CDR_00001701,2024-01-02 13:27:56,Agent_005,Survey_Campaign,TRUNK_BACKUP,+14792181961,Callback Scheduled,99,28,26,Outbound
CDR_00001762,2024-01-02 13:30:20,Agent_017,Lead_Generation_2024,TRUNK_PRIMARY,+13762758403,Voicemail,23,17,0,Outbound
CDR_00001163,2024-01-02 13:32:35,Agent_001,Lead_Generation_2024,SIP_GATEWAY_1,+14668267048,Not Interested,162,10,19,Outbound
CDR_00003283,2024-01-02 13:45:35,Agent_011,Lead_Generation_2024,TRUNK_BACKUP,+15079270572,No Answer,0,16,0,Outbound
CDR_00002809,2024-01-02 13:50:17,Agent_014,Survey_Campaign,VOIP_LINE_B,+19573004358,No Answer,0,31,0,Outbound
CDR_00004415,2024-01-02 14:01:36,Agent_020,Lead_Generation_2024,TRUNK_BACKUP,+18564488064,Voicemail,17,24,0,Outbound
CDR_00001290,2024-01-02 14:02:26,Agent_017,Customer_Retention,TRUNK_PRIMARY,+12068638709,Do Not Call,145,13,13,Outbound
CDR_00000937,2024-01-02 14:08:04,Agent_015,Customer_Retention,SIP_GATEWAY_2,+15598535014,Voicemail,12,28,0,Outbound
CDR_00001537,2024-01-02 14:47:15,Agent_001,Customer_Retention,TRUNK_BACKUP,+15617168641,Wrong Number,15,21,0,Outbound
CDR_00000883,2024-01-02 15:11:37,Agent_014,New_Product_Launch,TRUNK_BACKUP,+17387341647,Transferred,86,3,3,Outbound
CDR_00003208,2024-01-02 15:15:37,Agent_014,New_Product_Launch,SIP_GATEWAY_2,+15756648916,Busy,0,43,0,Outbound
CDR_00003010,2024-01-02 15:16:44,Agent_010,Survey_Campaign,SIP_GATEWAY_1,+12437602474,Callback Scheduled,143,10,11,Outbound
CDR_00001539,2024-01-02 15:47:18,Agent_004,New_Product_Launch,SIP_GATEWAY_2,+18105052259,Transferred,90,7,14,Outbound
CDR_00001508,2024-01-02 15:48:36,Agent_013,Customer_Retention,VOIP_LINE_A,+18531745261,Interested,218,26,17,Outbound
CDR_00003054,2024-01-02 15:57:16,Agent_009,Sales_Campaign_Q1,TRUNK_PRIMARY,+16563231960,Do Not Call,90,23,22,Outbound
CDR_00004200,2024-01-02 16:56:16,Agent_003,Customer_Retention,TRUNK_PRIMARY,+14495606563,Interested,271,13,15,Outbound
CDR_00003499,2024-01-02 17:02:37,Agent_012,Sales_Campaign_Q1,TRUNK_PRIMARY,+15407905069,No Answer,0,16,0,Outbound
CDR_00003816,2024-01-02 17:03:22,Agent_005,New_Product_Launch,TRUNK_BACKUP,+14187946768,No Answer,0,33,0,Outbound
CDR_00004198,2024-01-02 17:22:34,Agent_012,Sales_Campaign_Q1,TRUNK_BACKUP,+17358307136,Fax/Modem,0,55,0,Outbound
CDR_00001615,2024-01-02 17:29:32,Agent_014,Collection_Drive,SIP_GATEWAY_1,+18245734337,Language Barrier,108,17,4,Outbound
CDR_00000251,2024-01-02 17:45:26,Agent_009,Collection_Drive,VOIP_LINE_A,+16298961055,No Answer,0,43,0,Outbound
CDR_00003390,2024-01-02 18:20:14,Agent_015,Collection_Drive,TRUNK_BACKUP,+16181236905,Sale,185,21,25,Outbound
CDR_00001921,2024-01-02 18:24:04,Agent_002,New_Product_Launch,VOIP_LINE_A,+15664513225,Voicemail,25,20,0,Outbound
CDR_00002821,2024-01-02 18:25:14,Agent_005,Survey_Campaign,VOIP_LINE_B,+12286487353,Callback Scheduled,188,9,29,Outbound
CDR_00001041,2024-01-02 19:31:09,Agent_018,Lead_Generation_2024,SIP_GATEWAY_1,+12629638658,Voicemail,12,18,0,Outbound
CDR_00002360,2024-01-02 19:59:25,Agent_002,Lead_Generation_2024,SIP_GATEWAY_1,+12821859612,No Answer,0,33,0,Outbound
CDR_00002750,2024-01-02 20:56:45,Agent_016,Survey_Campaign,TRUNK_PRIMARY,+19989754637,No Answer,0,36,0,Outbound
CDR_00002773,2024-01-03 09:45:23,Agent_020,Lead_Generation_2024,VOIP_LINE_A,+14639575585,No Answer,0,48,0,Outbound
CDR_00004481,2024-01-03 09:50:11,Agent_005,Collection_Drive,VOIP_LINE_B,+12382865749,Disconnected,0,50,0,Outbound
CDR_00004371,2024-01-03 09:52:09,Agent_015,New_Product_Launch,TRUNK_PRIMARY,+13588492632,Interested,222,8,12,Outbound
CDR_00002204,2024-01-03 09:53:00,Agent_006,New_Product_Launch,VOIP_LINE_B,+15156341570,No Answer,0,24,0,Outbound
CDR_00002368,2024-01-03 10:19:47,Agent_008,Customer_Retention,TRUNK_PRIMARY,+14341179211,No Answer,0,27,0,Outbound
CDR_00004153,2024-01-03 10:23:26,Agent_007,New_Product_Launch,SIP_GATEWAY_1,+18535236009,Not Interested,173,7,9,Outbound
CDR_00004304,2024-01-03 10:24:05,Agent_009,New_Product_Launch,TRUNK_PRIMARY,+19665067990,Callback Scheduled,260,8,23,Outbound
CDR_00003532,2024-01-03 10:58:12,Agent_011,Customer_Retention,TRUNK_PRIMARY,+13018246655,Not Interested,146,15,23,Outbound
CDR_00002777,2024-01-03 11:00:33,Agent_017,Survey_Campaign,SIP_GATEWAY_2,+15112983139,No Answer,0,37,0,Outbound
CDR_00002160,2024-01-03 11:03:35,Agent_007,Sales_Campaign_Q1,VOIP_LINE_B,+14703323632,Interested,125,15,7,Outbound
CDR_00001172,2024-01-03 11:11:43,Agent_019,Lead_Generation_2024,VOIP_LINE_B,+18066801409,Wrong Number,10,19,0,Outbound
CDR_00001960,2024-01-03 11:14:17,Agent_003,Sales_Campaign_Q1,TRUNK_PRIMARY,+12163936585,Busy,0,52,0,Outbound
CDR_00003363,2024-01-03 11:16:16,Agent_019,Lead_Generation_2024,SIP_GATEWAY_2,+16371805991,Sale,180,20,4,Outbound
CDR_00001653,2024-01-03 11:27:05,Agent_014,Sales_Campaign_Q1,TRUNK_BACKUP,+17027751686,No Answer,0,21,0,Outbound
CDR_00000539,2024-01-03 11:29:28,Agent_012,Customer_Retention,TRUNK_BACKUP,+15868111584,Not Interested,141,13,3,Outbound
CDR_00004313,2024-01-03 11:29:44,Agent_005,Survey_Campaign,VOIP_LINE_A,+17587541337,Do Not Call,95,3,11,Outbound
CDR_00002665,2024-01-03 11:38:27,Agent_005,Lead_Generation_2024,SIP_GATEWAY_2,+18652335909,Language Barrier,143,19,9,Outbound
CDR_00001996,2024-01-03 11:46:37,Agent_011,Collection_Drive,VOIP_LINE_B,+14148669582,Sale,436,17,29,Outbound
CDR_00003383,2024-01-03 11:47:23,Agent_013,New_Product_Launch,VOIP_LINE_A,+19182130112,Do Not Call,151,15,16,Outbound
CDR_00000145,2024-01-03 11:56:24,Agent_003,Customer_Retention,TRUNK_BACKUP,+15693215763,Busy,0,22,0,Outbound
CDR_00002023,2024-01-03 12:02:15,Agent_011,Collection_Drive,TRUNK_PRIMARY,+15914267186,Voicemail,24,25,0,Outbound
CDR_00004639,2024-01-03 12:07:39,Agent_018,Collection_Drive,SIP_GATEWAY_2,+12888485070,Sale,344,28,29,Outbound
CDR_00002399,2024-01-03 12:10:13,Agent_005,New_Product_Launch,SIP_GATEWAY_1,+14839553454,Not Interested,165,15,13,Outbound
CDR_00000754,2024-01-03 12:29:33,Agent_016,Customer_Retention,TRUNK_PRIMARY,+13668821447,No Answer,0,21,0,Outbound
CDR_00000646,2024-01-03 12:31:01,Agent_012,Sales_Campaign_Q1,VOIP_LINE_B,+12315444652,No Answer,0,56,0,Outbound
CDR_00003764,2024-01-03 12:35:21,Agent_004,Customer_Retention,TRUNK_PRIMARY,+17544114329,No Answer,0,40,0,Outbound
CDR_00001730,2024-01-03 12:37:51,Agent_007,Customer_Retention,VOIP_LINE_B,+12283521416,Busy,0,48,0,Outbound
CDR_00003175,2024-01-03 12:47:36,Agent_005,Customer_Retention,TRUNK_PRIMARY,+16693022791,Interested,267,25,2,Outbound
CDR_00001428,2024-01-03 13:01:11,Agent_002,Collection_Drive,TRUNK_BACKUP,+15761526265,No Answer,0,56,0,Outbound
CDR_00002255,2024-01-03 13:02:52,Agent_006,New_Product_Launch,TRUNK_PRIMARY,+14165875030,No Answer,0,44,0,Outbound
CDR_00001467,2024-01-03 13:03:27,Agent_004,Customer_Retention,VOIP_LINE_B,+17818596205,No Answer,0,51,0,Outbound
CDR_00001418,2024-01-03 13:25:18,Agent_007,Lead_Generation_2024,TRUNK_BACKUP,+17859985605,No Answer,0,24,0,Outbound
CDR_00003866,2024-01-03 13:38:27,Agent_004,Lead_Generation_2024,VOIP_LINE_A,+14588938920,Busy,0,46,0,Outbound
CDR_00004980,2024-01-03 13:41:20,Agent_006,Collection_Drive,VOIP_LINE_A,+17563723195,Voicemail,25,12,0,Outbound
CDR_00002312,2024-01-03 13:42:50,Agent_007,New_Product_Launch,TRUNK_BACKUP,+13711419902,Interested,205,26,30,Outbound
CDR_00000998,2024-01-03 13:46:56,Agent_020,Customer_Retention,TRUNK_PRIMARY,+12152458854,Not Interested,164,6,3,Outbound
CDR_00000699,2024-01-03 14:02:26,Agent_016,New_Product_Launch,SIP_GATEWAY_2,+15863254591,Not Interested,73,25,27,Outbound
CDR_00002888,2024-01-03 14:03:56,Agent_007,Survey_Campaign,SIP_GATEWAY_1,+13621949254,Callback Scheduled,172,9,16,Outbound
CDR_00001727,2024-01-03 14:06:33,Agent_014,Lead_Generation_2024,SIP_GATEWAY_1,+17339320266,Voicemail,11,21,0,Outbound
CDR_00002206,2024-01-03 14:15:15,Agent_008,Survey_Campaign,VOIP_LINE_A,+19198616746,No Answer,0,59,0,Outbound
CDR_00002885,2024-01-03 14:15:53,Agent_018,Survey_Campaign,VOIP_LINE_A,+19306040032,Fax/Modem,0,57,0,Outbound
CDR_00002012,2024-01-03 14:18:29,Agent_008,Survey_Campaign,TRUNK_BACKUP,+14726512443,No Answer,0,32,0,Outbound
CDR_00001704,2024-01-03 14:26:11,Agent_007,Sales_Campaign_Q1,TRUNK_PRIMARY,+15352706865,No Answer,0,54,0,Outbound
CDR_00002422,2024-01-03 14:26:34,Agent_020,Survey_Campaign,VOIP_LINE_A,+13656909375,Sale,369,14,18,Outbound
CDR_00001351,2024-01-03 14:55:05,Agent_011,New_Product_Launch,SIP_GATEWAY_2,+19548860124,Not Interested,53,13,0,Outbound
CDR_00001297,2024-01-03 15:17:54,Agent_013,Survey_Campaign,SIP_GATEWAY_1,+18298336139,No Answer,0,15,0,Outbound
CDR_00003165,2024-01-03 15:26:26,Agent_017,Collection_Drive,VOIP_LINE_B,+12503932655,Not Interested,50,22,0,Outbound
CDR_00000449,2024-01-03 15:42:01,Agent_014,New_Product_Launch,TRUNK_BACKUP,+19211771745,Not Interested,163,9,5,Outbound
CDR_00003667,2024-01-03 16:04:23,Agent_014,New_Product_Launch,TRUNK_PRIMARY,+15006209870,Wrong Number,7,30,0,Outbound
CDR_00000005,2024-01-03 17:12:16,Agent_001,New_Product_Launch,SIP_GATEWAY_2,+14314153675,Voicemail,8,27,0,Outbound
CDR_00001002,2024-01-03 17:25:36,Agent_018,Survey_Campaign,VOIP_LINE_A,+16416925582,Interested,129,11,2,Outbound
CDR_00002454,2024-01-03 17:36:00,Agent_017,Collection_Drive,TRUNK_BACKUP,+19935262190,Callback Scheduled,86,27,6,Outbound
CDR_00003916,2024-01-03 17:38:06,Agent_016,Sales_Campaign_Q1,SIP_GATEWAY_2,+17146991982,Not Interested,51,30,0,Outbound
CDR_00001266,2024-01-03 17:54:02,Agent_017,Survey_Campaign,SIP_GATEWAY_1,+14899177929,No Answer,0,39,0,Outbound
CDR_00000522,2024-01-03 17:57:04,Agent_005,Lead_Generation_2024,TRUNK_BACKUP,+18333965442,Callback Scheduled,275,21,30,Outbound
CDR_00002741,2024-01-03 18:01:21,Agent_006,Sales_Campaign_Q1,TRUNK_BACKUP,+12012847424,Not Interested,55,20,0,Outbound
CDR_00001796,2024-01-03 18:02:42,Agent_003,New_Product_Launch,TRUNK_PRIMARY,+13318569501,Fax/Modem,0,17,0,Outbound
CDR_00004424,2024-01-03 18:24:38,Agent_019,New_Product_Launch,SIP_GATEWAY_1,+17381441392,Busy,0,40,0,Outbound
CDR_00001366,2024-01-03 18:39:05,Agent_004,Customer_Retention,SIP_GATEWAY_2,+19421101731,Callback Scheduled,167,13,0,Outbound
CDR_00000538,2024-01-03 18:41:54,Agent_012,Survey_Campaign,VOIP_LINE_A,+16045044188,Busy,0,49,0,Outbound
CDR_00004681,2024-01-03 18:48:45,Agent_014,Lead_Generation_2024,SIP_GATEWAY_2,+17647372732,Callback Scheduled,141,4,24,Outbound
CDR_00002974,2024-01-03 18:53:28,Agent_019,Collection_Drive,SIP_GATEWAY_1,+15939457678,Not Interested,147,27,20,Outbound
CDR_00003347,2024-01-03 19:35:39,Agent_018,Collection_Drive,SIP_GATEWAY_1,+13317332551,Voicemail,27,28,0,Outbound
CDR_00002797,2024-01-03 20:02:32,Agent_005,Collection_Drive,TRUNK_BACKUP,+12132568679,No Answer,0,37,0,Outbound
CDR_00000071,2024-01-04 08:13:27,Agent_008,Sales_Campaign_Q1,TRUNK_PRIMARY,+13649926348,Busy,0,41,0,Outbound
CDR_00004045,2024-01-04 08:15:28,Agent_018,Sales_Campaign_Q1,SIP_GATEWAY_2,+15321050977,Interested,127,18,5,Outbound
CDR_00002886,2024-01-04 09:00:32,Agent_007,Lead_Generation_2024,TRUNK_BACKUP,+19787860989,Interested,249,12,19,Outbound
CDR_00004142,2024-01-04 09:00:40,Agent_015,Survey_Campaign,SIP_GATEWAY_1,+14632655547,No Answer,0,56,0,Outbound
CDR_00003086,2024-01-04 09:01:18,Agent_008,Survey_Campaign,TRUNK_BACKUP,+17948097302,Voicemail,25,20,0,Outbound
CDR_00004258,2024-01-04 09:18:32,Agent_002,Lead_Generation_2024,TRUNK_BACKUP,+18103302158,No Answer,0,28,0,Outbound
CDR_00001962,2024-01-04 09:20:43,Agent_007,Customer_Retention,SIP_GATEWAY_2,+18842319264,Callback Scheduled,288,16,26,Outbound
CDR_00003367,2024-01-04 09:24:59,Agent_015,Lead_Generation_2024,VOIP_LINE_B,+17164788903,Busy,0,42,0,Outbound
CDR_00004427,2024-01-04 09:39:00,Agent_013,New_Product_Launch,TRUNK_PRIMARY,+17888040652,No Answer,0,54,0,Outbound
CDR_00000890,2024-01-04 09:46:55,Agent_012,Collection_Drive,TRUNK_PRIMARY,+15338162381,No Answer,0,41,0,Outbound
CDR_00002798,2024-01-04 09:53:30,Agent_001,Customer_Retention,TRUNK_PRIMARY,+16285888387,Not Interested,43,24,0,Outbound
CDR_00002356,2024-01-04 10:02:59,Agent_009,Sales_Campaign_Q1,SIP_GATEWAY_2,+17988687739,Not Interested,100,25,19,Outbound
CDR_00000660,2024-01-04 10:32:55,Agent_015,Survey_Campaign,VOIP_LINE_A,+19998115175,Not Interested,100,24,16,Outbound
CDR_00000404,2024-01-04 11:05:39,Agent_005,Lead_Generation_2024,SIP_GATEWAY_2,+14172585225,Sale,40,7,0,Outbound
CDR_00003941,2024-01-04 11:11:01,Agent_016,New_Product_Launch,TRUNK_BACKUP,+12759323495,Not Interested,24,3,0,Outbound
